text,polarity,subjectivity,Date,retweet count
@Gubomaster @ShilpiTiwari5 @ImranKhanPTI @narendramodi @OpIndia_com Choice was with pak army to either fight agains... https://t.co/Tam6riILGn,0.0,0.0,2019-03-02 19:54:36,8
"RT @GreatHeretic: Press release from #Jannat #MasoodAzhar enjoying with hoors.

#MasoodAzharDEAD https://t.co/ONtP08nTrj",0.5,0.6,2019-03-02 19:48:28,97
RT @amtgpt2008: @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic The complete silence of #MasoodAzhar after #IndianAirForce...,0.1,0.4,2019-03-02 19:48:13,30
RT @adarsh100194: Pakistan is making plot to declare #MasoodAzharDead. They also make a fake YT Channel 1 hour ago and started posting old...,-0.2,0.6,2019-03-02 19:46:32,12
RT @amtgpt2008: @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic The complete silence of #MasoodAzhar after #IndianAirForce...,0.1,0.4,2019-03-02 19:46:01,30
"RT @GreatHeretic: Press release from #Jannat #MasoodAzhar enjoying with hoors.

#MasoodAzharDEAD https://t.co/ONtP08nTrj",0.5,0.6,2019-03-02 19:45:20,97
RT @Songadiya: @ShilpiTiwari5 @cbkwgl @MithilaGourav @KanchanGupta @sarpamedha @vijayvaani @DivyaSoti @Abdulsaleemgad @omlettebread @Prof_H...,0.0,0.0,2019-03-02 19:45:06,3
"RT @ShilpiTiwari5: Assasination  by Poisonin of Maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.19999999999999998,1.0,2019-03-02 19:42:00,11
#MasoodAzharDead mark my word. https://t.co/CiUMGxDKfF,0.0,0.0,2019-03-02 19:37:27,0
"RT @ShilpiTiwari5: Assasination  by Poisonin of Maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.19999999999999998,1.0,2019-03-02 19:37:12,11
"RT @ShilpiTiwari5: Now connect the dots
Azhar, ISI colonel, Military cream eliminated in ""pilot project"".
#NudeNukes #benaamiNukes transpor...",-0.1,0.1,2019-03-02 19:37:01,26
RT @Songadiya: @ShilpiTiwari5 @cbkwgl @MithilaGourav @KanchanGupta @sarpamedha @vijayvaani @DivyaSoti @Abdulsaleemgad @omlettebread @Prof_H...,0.0,0.0,2019-03-02 19:35:18,3
My sources are telling that Masood Azhar actually got killed in airstrike and pakistan actually using his hospitali... https://t.co/1MOij6eTR4,-0.06666666666666667,0.06666666666666667,2019-03-02 19:31:55,4
@ShilpiTiwari5 @cbkwgl @MithilaGourav @KanchanGupta @sarpamedha @vijayvaani @DivyaSoti @Abdulsaleemgad... https://t.co/0dBBtIPZjX,0.0,0.0,2019-03-02 19:30:57,3
"Now connect the dots
Azhar, ISI colonel, Military cream eliminated in ""pilot project"".
#NudeNukes #benaamiNukes tra... https://t.co/mqGDx13U3Z",-0.1,0.1,2019-03-02 19:29:56,26
@pid_gov @ImranKhanPTI @PTVNewsOfficial @RadioPakistan @HamidMirPAK @OfficialDGISPR @MehrTarar @SameeraKhan There i... https://t.co/M3YmffXiAx,0.0,0.0,2019-03-02 19:29:09,0
"Assasination  by Poisonin of Maulana shows an intense combustion involving core hothead jehaadis, at the hands of c... https://t.co/evgLIRgg7o",0.2,1.0,2019-03-02 19:25:11,11
@Soutweets Finally Maulana Masood Azhar killed in the airstrike in balakot... Great news   #MasoodAzhar... https://t.co/ueJUWnpe5S,0.20000000000000004,0.5833333333333334,2019-03-02 19:20:59,0
If the news of #MasoodAzhar r true than I m going to party. Hope the #IAFAirStrikes sent him to hell. #MasoodAzharDead #MasoodAzharKilled,0.35,0.65,2019-03-02 19:02:51,0
RT @fiveess15: #MasoodAzharDEAD It is official that India's enemy #MasoodAzhar was killed in the Air Strike on the terrorist training camp...,-0.2,0.0,2019-03-02 18:55:56,1
"@ippatel The people who are asking for proof
I want to make sure that You wont see his
spewing venom against India.... https://t.co/D1oW5t65eg",0.5,0.8888888888888888,2019-03-02 18:45:04,0
"@Natsecjeff Please post a video message from Masood Azhar to prove that. 
#MasoodAzharDEAD",0.0,0.0,2019-03-02 18:43:51,0
Is #MasoodAzharDEAD and Pakistan just trying to save face by making it a illness related death?,0.0,0.4,2019-03-02 18:40:30,0
"RT @RavinarIN: #JaishEKejriwal is right.... Hes very much like a ""mooh-bola"" son of #MasoodAzharDEAD considering he provides so much propag...",0.24857142857142858,0.3319047619047619,2019-03-02 18:35:23,91
RT @IvoryMystic: The only one who praised Barkha for her journalism is dead now. Ab kaun compliments dega? #MasoodAzharDEAD,-0.1,0.7,2019-03-02 18:32:38,44
