text,polarity,subjectivity,Date,retweet count
masoodazhardead mark my word. URL,0.0,0.0,2019-03-02 19:37:27,0
"rt AT_USER assasination by poisonin of maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.2,1.0,2019-03-02 19:37:12,11
"rt AT_USER now connect the dots azhar, isi colonel, military cream eliminated in ""pilot project"". nudenukes benaaminukes transpor...",-0.1,0.1,2019-03-02 19:37:01,26
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER,0.0,0.0,2019-03-02 19:35:18,3
my sources are telling that masood azhar actually got killed in airstrike and pakistan actually using his hospitali... URL,-0.06666666666666668,0.06666666666666668,2019-03-02 19:31:55,4
AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER URL,0.0,0.0,2019-03-02 19:30:57,3
"now connect the dots azhar, isi colonel, military cream eliminated in ""pilot project"". nudenukes benaaminukes tra... URL",-0.1,0.1,2019-03-02 19:29:56,26
AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER there i... URL,0.0,0.0,2019-03-02 19:29:09,0
"assasination by poisonin of maulana shows an intense combustion involving core hothead jehaadis, at the hands of c... URL",0.2,1.0,2019-03-02 19:25:11,11
AT_USER finally maulana masood azhar killed in the airstrike in balakot... great news masoodazhar... URL,0.20000000000000004,0.5833333333333334,2019-03-02 19:20:59,0
if the news of masoodazhar r true than i m going to party. hope the iafairstrikes sent him to hell. masoodazhardead masoodazharkilled,0.35,0.65,2019-03-02 19:02:51,0
rt AT_USER masoodazhardead it is official that india's enemy masoodazhar was killed in the air strike on the terrorist training camp...,-0.2,0.0,2019-03-02 18:55:56,1
AT_USER the people who are asking for proof i want to make sure that you wont see his spewing venom against india.... URL,0.5,0.8888888888888888,2019-03-02 18:45:04,0
AT_USER please post a video message from masood azhar to prove that. masoodazhardead,0.0,0.0,2019-03-02 18:43:51,0
is masoodazhardead and pakistan just trying to save face by making it a illness related death?,0.0,0.4,2019-03-02 18:40:30,0
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 18:35:23,91
rt AT_USER the only one who praised barkha for her journalism is dead now. ab kaun compliments dega? masoodazhardead,-0.1,0.7,2019-03-02 18:32:38,44
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 18:13:02,91
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 18:09:52,91
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 18:06:29,30
masoodazhardead it is official that india's enemy masoodazhar was killed in the air strike on the terrorist train... URL,-0.2,0.0,2019-03-02 18:05:22,1
rt AT_USER is it true masood azhar died in indian air strike in balakot? and pakistan is using illness to hide its face in pakistan a...,0.35,0.65,2019-03-02 18:04:49,3
rt AT_USER it appears masood azhar is killed in indian strike (probably a covert operation or he was at balakot during air strike...,-0.2,0.0,2019-03-02 18:04:39,51
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER it appears masood azhar is killed in indian strik...,-0.2,0.0,2019-03-02 18:04:23,5
rt AT_USER even if untrue not so bad rumour to spread masoodazhardead pak need to dig him out of his rat hole to deny and save face,-0.6999999999999998,0.6666666666666666,2019-03-02 18:03:44,7
rt AT_USER AT_USER AT_USER azhar is dead. he got killed in balakot air strike by iaf. pakistan feels ashamed to reveal...,-0.2,0.2,2019-03-02 18:03:30,25
rt AT_USER did masood azhar die in the iaf strike on balakot? is the pakistan establishment working towards the 'soft landing...,0.1,0.35,2019-03-02 18:03:20,19
"rt AT_USER please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is trying...",-0.2,0.4,2019-03-02 18:03:09,15
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER heard masoodazhardead howsthejaish jaishdeadsir,0.0,0.0,2019-03-02 17:39:03,2
rt AT_USER can crow eater AT_USER or isis poop swimmer AT_USER AT_USER confirm or take interview of masoodazhardead ? AT_USER,0.0,0.0,2019-03-02 17:38:54,14
masoodazhardead in balakot attack. this is just porki propaganda. URL,-0.1,0.1,2019-03-02 17:34:46,0
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 17:34:24,30
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER heard masoodazhardead howsthejaish jaishdeadsir,0.0,0.0,2019-03-02 17:30:53,2
AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER heard masoodazhardead howsthejaish jaishdeadsir,0.0,0.0,2019-03-02 17:30:14,2
rt AT_USER so more proof coming of the balakotairstrike waragainstterrorism indiastrikesback surgicalstrike2 bit the imp qsn: masoo...,0.5,0.5,2019-03-02 17:27:34,1
so more proof coming of the balakotairstrike waragainstterrorism indiastrikesback surgicalstrike2 bit the imp... URL,0.5,0.5,2019-03-02 17:23:44,1
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 17:23:44,91
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 17:15:36,91
rt AT_USER masoodazhardead was a coward. one slap from an indian army officer and he started crying like a little girl ,-0.19375,0.55,2019-03-02 17:13:25,2
rt AT_USER masoodazhardead cried like a bitch when slapped by an indian army officer. URL,0.0,0.0,2019-03-02 17:13:17,6
"rt AT_USER masoodazhardead, this is just cover up. too embarrassed to admit that guy got vanished like a poof URL",0.0,0.0,2019-03-02 17:11:38,5
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER my sources with AT_USER AT_USER,0.0,0.0,2019-03-02 17:09:39,12
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 17:08:39,30
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 17:08:07,30
"masoodazhardead, this is just cover up. too embarrassed to admit that guy got vanished like a poof URL",0.0,0.0,2019-03-02 17:01:42,5
rt AT_USER pakpremipatrakaar presstitutes gave all private and personal information of wingcommanderabhinandan was that AT_USER ? is m...,0.0,0.3375,2019-03-02 16:59:00,2
masoodazhardead is what imran khan will not declare for the next 10 days.,0.0,0.0,2019-03-02 16:56:58,0
pakpremipatrakaar presstitutes gave all private and personal information of wingcommanderabhinandan was that... URL,0.0,0.3375,2019-03-02 16:56:56,2
even if untrue not so bad rumour to spread masoodazhardead pak need to dig him out of his rat hole to deny and save face,-0.6999999999999998,0.6666666666666666,2019-03-02 16:54:36,7
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 16:54:16,30
rt AT_USER masoodazhardead cried like a bitch when slapped by an indian army officer. URL,0.0,0.0,2019-03-02 16:53:44,6
rt AT_USER masood azhar reportedly dead in surgicalstrike2 masoodazhardead,-0.2,0.4,2019-03-02 16:53:39,6
"rt AT_USER .AT_USER imrankhan plz confirm or deny like a true pathan aleays speaking truth, masoodazhar is dead? if alive sho...",0.08333333333333333,0.4833333333333334,2019-03-02 16:52:31,3
